url_path,views_total,views_unique
/a631807682/issues-translator/pulls,8,1
/a631807682/issues-translator/pull/55,3,1
/a631807682/issues-translator/pull/50,2,1
/a631807682/issues-translator/pull/53,2,1
/a631807682/issues-translator/pull/54,2,1
/a631807682/issues-translator,1,1
/a631807682/issues-translator/pull/49,1,1
/a631807682/issues-translator/pull/50/files/07c8ed695ce3169ef4d9427a531b09b07da571c9..5f337ac1b884b088b2e4637e83d65d179edd62da,1,1
/a631807682/issues-translator/pull/51,1,1
/a631807682/issues-translator/pull/52,1,1
