time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-17 00:00:00+00:00,,,1.0,1.0
2023-04-18 00:00:00+00:00,28.0,24.0,,
2023-04-19 00:00:00+00:00,103.0,50.0,,
2023-04-20 00:00:00+00:00,118.0,56.0,13.0,2.0
2023-04-21 00:00:00+00:00,78.0,42.0,1.0,1.0
2023-04-22 00:00:00+00:00,59.0,34.0,,
2023-04-23 00:00:00+00:00,55.0,34.0,,
2023-04-24 00:00:00+00:00,59.0,35.0,3.0,1.0
2023-04-25 00:00:00+00:00,59.0,35.0,1.0,1.0
2023-04-26 00:00:00+00:00,36.0,29.0,1.0,1.0
2023-04-27 00:00:00+00:00,83.0,43.0,9.0,1.0
