time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-12 00:00:00+00:00,23.0,13.0,,
2022-09-13 00:00:00+00:00,,,1.0,1.0
2022-09-16 00:00:00+00:00,,,3.0,1.0
2022-09-17 00:00:00+00:00,48.0,33.0,,
2022-09-18 00:00:00+00:00,137.0,66.0,,
2022-09-19 00:00:00+00:00,117.0,55.0,13.0,1.0
2022-09-20 00:00:00+00:00,84.0,44.0,,
2022-09-21 00:00:00+00:00,141.0,64.0,,
2022-09-22 00:00:00+00:00,83.0,46.0,1.0,1.0
2022-09-23 00:00:00+00:00,16.0,11.0,,
2022-09-25 00:00:00+00:00,2.0,1.0,,
