time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-28 00:00:00+00:00,61,38,1.0,1.0
2023-06-29 00:00:00+00:00,58,39,,
2023-06-30 00:00:00+00:00,58,36,,
2023-07-01 00:00:00+00:00,83,38,,
2023-07-02 00:00:00+00:00,17,11,,
2023-07-03 00:00:00+00:00,12,10,,
2023-07-04 00:00:00+00:00,87,47,,
2023-07-05 00:00:00+00:00,244,110,,
2023-07-06 00:00:00+00:00,233,115,,
2023-07-07 00:00:00+00:00,101,69,,
2023-07-08 00:00:00+00:00,18,14,,
