time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-06 00:00:00+00:00,58,33,,
2022-07-07 00:00:00+00:00,18,12,,
2022-07-11 00:00:00+00:00,20,4,,
2022-07-12 00:00:00+00:00,54,27,2.0,2.0
2022-07-13 00:00:00+00:00,60,31,,
2022-07-14 00:00:00+00:00,18,10,,
2022-07-16 00:00:00+00:00,3,2,,
2022-07-17 00:00:00+00:00,50,28,,
2022-07-18 00:00:00+00:00,67,36,17.0,7.0
2022-07-19 00:00:00+00:00,54,31,19.0,2.0
